"LOCATION","Country","SUBJECT","Subject","SEX","Sex","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","YA994TL1_ST","Employment in all activities (ISIC rev.4, A-U)","MA","Males","A","Annual","2008","2008","PER","Persons","3","Thousands",,,2460.675,,
"BEL","Belgium","YA994TL1_ST","Employment in all activities (ISIC rev.4, A-U)","MA","Males","A","Annual","2009","2009","PER","Persons","3","Thousands",,,2429.325,,
"BEL","Belgium","YA994TL1_ST","Employment in all activities (ISIC rev.4, A-U)","MA","Males","A","Annual","2010","2010","PER","Persons","3","Thousands",,,2457.775,"B","Break"
"BEL","Belgium","YA994TL1_ST","Employment in all activities (ISIC rev.4, A-U)","MA","Males","A","Annual","2011","2011","PER","Persons","3","Thousands",,,2461.95,,
"BEL","Belgium","YA994TL1_ST","Employment in all activities (ISIC rev.4, A-U)","MA","Males","A","Annual","2012","2012","PER","Persons","3","Thousands",,,2466.075,,
"BEL","Belgium","YA994TL1_ST","Employment in all activities (ISIC rev.4, A-U)","MA","Males","A","Annual","2013","2013","PER","Persons","3","Thousands",,,2450.5,,
"BEL","Belgium","YA994TL1_ST","Employment in all activities (ISIC rev.4, A-U)","MA","Males","A","Annual","2014","2014","PER","Persons","3","Thousands",,,2435.3,,
"BEL","Belgium","YA994TL1_ST","Employment in all activities (ISIC rev.4, A-U)","MA","Males","A","Annual","2015","2015","PER","Persons","3","Thousands",,,2433.5,,
"BEL","Belgium","YA994TL1_ST","Employment in all activities (ISIC rev.4, A-U)","MA","Males","A","Annual","2016","2016","PER","Persons","3","Thousands",,,2465.675,"B","Break"
"BEL","Belgium","YA994TL1_ST","Employment in all activities (ISIC rev.4, A-U)","MA","Males","A","Annual","2017","2017","PER","Persons","3","Thousands",,,2495.7,,
"BEL","Belgium","YA994TL1_ST","Employment in all activities (ISIC rev.4, A-U)","MA","Males","A","Annual","2018","2018","PER","Persons","3","Thousands",,,2531.25,,
